,lng,lat,MinMax_PCA_Crime_Labels,Robust_PCA_Crime_Labels,MinMax_PCA_Crimeless_Labels,Robust_PCA_Crimeless_Labels,MinMax_Non_PCA_Crime_Labels,Robust__Non_PCA_Crime_Labels,MinMax_Non_PCA_Crimeless_Labels,Robust__Non_PCA_Crimeless_Labels
5294,-0.293708127196221,51.4323243240749,0,1,2,1,0,1,2,1
5295,-0.286491714733953,51.4323243240749,0,1,2,1,0,1,2,1
5296,-0.26844455391823,51.4345738744628,0,1,2,1,0,1,2,1
5297,-0.304532745889622,51.4323243240749,0,1,2,1,0,1,2,1
5298,-0.300920009040186,51.4345738744628,0,1,2,1,0,1,2,1
5299,-0.275661321723109,51.4345738744628,0,1,2,1,0,1,2,1
5300,-0.28651267314735,51.4233261225234,0,1,2,1,0,1,2,1
5301,-0.275672869608638,51.4300747736871,0,1,2,1,0,1,2,1
5302,-0.297325748173629,51.4278252232992,0,1,2,1,0,1,2,1
5303,-0.308145126854602,51.4300747736871,0,1,2,1,0,1,2,1
5304,-0.275655546656176,51.4368234248507,0,1,2,1,0,1,2,1
5305,-0.286502195300561,51.4278252232992,0,1,2,1,0,1,2,1
5306,-0.290094857332867,51.4345738744628,0,1,2,1,0,1,2,1
5307,-0.293722781274961,51.4255756729113,0,1,2,1,0,1,2,1
5308,-0.275667096040552,51.4323243240749,0,1,2,1,0,1,2,1
5309,-0.282894344342872,51.4278252232992,0,1,2,1,0,1,2,1
5310,-0.300924539658488,51.4323243240749,0,1,2,1,0,1,2,1
5311,-0.308136776845066,51.4345738744628,0,1,2,1,0,1,2,1
5312,-0.304449943187997,51.4750657814447,0,1,2,1,0,1,2,1
5313,-0.304463030883579,51.468317130281,0,1,2,1,0,1,2,1
5314,-0.29724092740041,51.468317130281,0,1,2,1,0,1,2,1
5315,-0.297245644867843,51.4660675798932,0,1,2,1,0,1,2,1
5316,-0.300851979141995,51.468317130281,0,1,2,1,0,1,2,1
5317,-0.304458668884968,51.4705666806689,0,1,2,1,0,1,2,1
5318,-0.311673115054479,51.4750657814447,0,1,2,1,0,1,2,1
5319,-0.308065714166036,51.4728162310568,0,1,2,1,0,1,2,1
5320,-0.239471665284716,51.4660675798932,0,1,2,1,0,1,2,1
5321,-0.23946409953506,51.468317130281,0,1,2,1,0,1,2,1
5322,-0.239479230051918,51.4638180295053,0,1,2,1,0,1,2,1
5323,-0.232241996051891,51.468317130281,0,1,2,1,0,1,2,1
5324,-0.232249917836826,51.4660675798932,0,1,2,1,0,1,2,1
5325,-0.221400383891056,51.4705666806689,0,1,2,1,0,1,2,1
5326,-0.228622843455744,51.4705666806689,0,1,2,1,0,1,2,1
5327,-0.369476993009843,51.4390729752386,0,1,2,1,0,1,2,1
5328,-0.369475837696585,51.4413225256265,0,1,2,1,0,1,2,1
5329,-0.304554502153019,51.4210765721355,0,1,2,1,0,1,2,1
5330,-0.311761148052676,51.4255756729113,0,1,2,1,0,1,2,1
5331,-0.308153474697133,51.4255756729113,0,1,2,1,0,1,2,1
5332,-0.344223014432092,51.4323243240749,0,1,2,1,0,1,2,1
5333,-0.33699282886852,51.4435720760144,0,1,2,1,0,1,2,1
5334,-0.333383734050205,51.4435720760144,0,1,2,1,0,1,2,1
5335,-0.322570312454824,51.4345738744628,0,1,2,1,0,1,2,1
5336,-0.250304286456553,51.4660675798932,0,1,2,1,0,1,2,1
5337,-0.271975491616725,51.4638180295053,0,1,2,1,0,1,2,1
5338,-0.279202489174979,51.4615684791174,0,1,2,1,0,1,2,1
5339,-0.264741461726151,51.468317130281,0,1,2,1,0,1,2,1
5340,-0.322625691991571,51.3985810682568,0,1,2,1,0,1,2,1
5341,-0.33344232377016,51.3985810682568,0,1,2,1,0,1,2,1
5342,-0.31540316513733,51.4053297194204,0,1,2,1,0,1,2,1
5343,-0.319023782774099,51.3963315178689,0,1,2,1,0,1,2,1
5344,-0.326224674435314,51.4030801690325,0,1,2,1,0,1,2,1
5345,-0.308182675091547,51.4098288201961,0,1,2,1,0,1,2,1
5346,-0.315414604139179,51.3985810682568,0,1,2,1,0,1,2,1
5347,-0.308191013191743,51.4053297194204,0,1,2,1,0,1,2,1
5348,-0.308178505230122,51.412078370584,0,1,2,1,0,1,2,1
5349,-0.322622234137251,51.4008306186446,0,1,2,1,0,1,2,1
5350,-0.319012877233468,51.4030801690325,0,1,2,1,0,1,2,1
5351,-0.311789105877115,51.4098288201961,0,1,2,1,0,1,2,1
5352,-0.319001967448252,51.4098288201961,0,1,2,1,0,1,2,1
5353,-0.311777127061522,51.4165774713598,0,1,2,1,0,1,2,1
5354,-0.315399351147405,51.4075792698083,0,1,2,1,0,1,2,1
5355,-0.319009241110124,51.4053297194204,0,1,2,1,0,1,2,1
5356,-0.311797089164537,51.4053297194204,0,1,2,1,0,1,2,1
5357,-0.358655839356627,51.4323243240749,0,1,2,1,0,1,2,1
5358,-0.365872251818894,51.4323243240749,0,1,2,1,0,1,2,1
5359,-0.355051363496659,51.4278252232992,0,1,2,1,0,1,2,1
5360,-0.351449639017995,51.4210765721355,0,1,2,1,0,1,2,1
5361,-0.344211018505149,51.4435720760144,0,1,2,1,0,1,2,1
5362,-0.347820113323464,51.4435720760144,0,1,2,1,0,1,2,1
5363,-0.347822335368143,51.4413225256265,0,1,2,1,0,1,2,1
5364,-0.329765304220878,51.450320727178,0,1,2,1,0,1,2,1
5365,-0.355032701953485,51.450320727178,0,1,2,1,0,1,2,1
5366,-0.362261024979539,51.4368234248507,0,1,2,1,0,1,2,1
5367,-0.362259514381365,51.4390729752386,0,1,2,1,0,1,2,1
5368,-0.362256492596722,51.4435720760144,0,1,2,1,0,1,2,1
5369,-0.358650775067126,51.4390729752386,0,1,2,1,0,1,2,1
5370,-0.347824557124409,51.4390729752386,0,1,2,1,0,1,2,1
5371,-0.347826778592312,51.4368234248507,0,1,2,1,0,1,2,1
5372,-0.344218216995505,51.4368234248507,0,1,2,1,0,1,2,1
5373,-0.322546047725847,51.450320727178,0,1,2,1,0,1,2,1
5374,-0.315330614636386,51.4480711767901,0,1,2,1,0,1,2,1
5375,-0.257512681714496,51.4705666806689,0,1,2,1,0,1,2,1
5376,-0.257506004318843,51.4728162310568,0,1,2,1,0,1,2,1
5377,-0.257519358242982,51.468317130281,0,1,2,1,0,1,2,1
5378,-0.373091595096909,51.4255756729113,0,1,2,1,0,1,2,1
5379,-0.373094524771913,51.4188270217477,0,1,2,1,0,1,2,1
5380,-0.369487384084552,51.4188270217477,0,1,2,1,0,1,2,1
5381,-0.347811222259629,51.4525702775659,0,1,2,1,0,1,2,1
5382,-0.35142307370597,51.450320727178,0,1,2,1,0,1,2,1
5383,-0.347813445458454,51.450320727178,0,1,2,1,0,1,2,1
5384,-0.271939703098968,51.4773153318326,0,1,2,1,0,1,2,1
5385,-0.279157619987371,51.4795648822204,0,1,2,1,0,1,2,1
5386,-0.383913282974562,51.4323243240749,0,1,2,1,0,1,2,1
5387,-0.380305076743429,51.4323243240749,0,1,2,1,0,1,2,1
5388,-0.376696870512295,51.4323243240749,0,1,2,1,0,1,2,1
5389,-0.322591093254933,51.4210765721355,0,1,2,1,0,1,2,1
5390,-0.326198411475316,51.4210765721355,0,1,2,1,0,1,2,1
5391,-0.318987414461502,51.4188270217477,0,1,2,1,0,1,2,1
5392,-0.326201695836223,51.4188270217477,0,1,2,1,0,1,2,1
5393,-0.293629875658826,51.468317130281,0,1,2,1,0,1,2,1
5394,-0.34059934578039,51.4458216264022,0,1,2,1,0,1,2,1
5395,-0.344208618385356,51.4458216264022,0,1,2,1,0,1,2,1
5396,-0.344206217953971,51.4480711767901,0,1,2,1,0,1,2,1
5397,-0.279213699190149,51.4570693783416,0,1,2,1,0,1,2,1
5398,-0.271987414927038,51.4593189287295,0,1,2,1,0,1,2,1
5399,-0.272017209660008,51.4480711767901,0,1,2,1,0,1,2,1
5400,-0.365858918684245,51.4548198279538,0,1,2,1,0,1,2,1
5401,-0.362248934701825,51.4548198279538,0,1,2,1,0,1,2,1
5402,-0.362250446673315,51.4525702775659,0,1,2,1,0,1,2,1
5403,-0.340614808200958,51.4323243240749,0,1,2,1,0,1,2,1
5404,-0.344225412683451,51.4300747736871,0,1,2,1,0,1,2,1
5405,-0.311757152004386,51.4278252232992,0,1,2,1,0,1,2,1
5406,-0.31898013513533,51.4233261225234,0,1,2,1,0,1,2,1
5407,-0.30086105745211,51.4638180295053,0,1,2,1,0,1,2,1
5408,-0.300865595723059,51.4615684791174,0,1,2,1,0,1,2,1
5409,-0.243038198220696,51.4795648822204,0,1,2,1,0,1,2,1
5410,-0.239433826708495,51.4773153318326,0,1,2,1,0,1,2,1
5411,-0.35864570880522,51.4458216264022,0,1,2,1,0,1,2,1
5412,-0.355036436200254,51.4458216264022,0,1,2,1,0,1,2,1
5413,-0.282774995229126,51.4773153318326,0,1,2,1,0,1,2,1
5414,-0.224978487337358,51.4795648822204,0,1,2,1,0,1,2,1
5415,-0.228566108003026,51.4863135333841,0,1,2,1,0,1,2,1
5416,-0.232186514739207,51.4840639829962,0,1,2,1,0,1,2,1
5417,-0.224986770534951,51.4773153318326,0,1,2,1,0,1,2,1
5418,-0.347855631456471,51.4075792698083,0,1,2,1,0,1,2,1
5419,-0.344242191731819,51.4143279209719,0,1,2,1,0,1,2,1
5420,-0.347853413732796,51.4098288201961,0,1,2,1,0,1,2,1
5421,-0.337039620974093,51.4053297194204,0,1,2,1,0,1,2,1
5422,-0.351461884824146,51.4075792698083,0,1,2,1,0,1,2,1
5423,-0.351457803947879,51.412078370584,0,1,2,1,0,1,2,1
5424,-0.344244587494919,51.412078370584,0,1,2,1,0,1,2,1
5425,-0.355058821335109,51.4188270217477,0,1,2,1,0,1,2,1
5426,-0.351459844518364,51.4098288201961,0,1,2,1,0,1,2,1
5427,-0.355066275303932,51.4098288201961,0,1,2,1,0,1,2,1
5428,-0.355060685189989,51.4165774713598,0,1,2,1,0,1,2,1
5429,-0.340643124721124,51.4075792698083,0,1,2,1,0,1,2,1
5430,-0.340648268839008,51.4030801690325,0,1,2,1,0,1,2,1
5431,-0.351453722012616,51.4165774713598,0,1,2,1,0,1,2,1
