,District,Description,POLYGON_ID,GridName,lng,lat,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,hospital_1000,train_station_1000,bus_station_1000,park_1000,place_of_worship_1000,hospital_1500,train_station_1500,bus_station_1500,park_1500,place_of_worship_1500
40,City of Leicester (B),Unitary Authority,97712,Grid3_5,-1.16409117246806,52.6420138037417,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41,City of Leicester (B),Unitary Authority,97712,Grid5_5,-1.13443600538472,52.6420138037417,0,0,2,2,1,1,0,22,9,36,3,0,28,19,54
42,City of Leicester (B),Unitary Authority,97712,Grid4_5,-1.14926358892639,52.6420138037417,2,0,0,2,0,2,0,1,7,1,3,0,3,16,14
43,City of Leicester (B),Unitary Authority,97712,Grid6_5,-1.11960842184305,52.6420138037417,0,0,0,0,0,4,0,0,5,4,8,1,24,9,24
44,City of Leicester (B),Unitary Authority,97712,Grid8_5,-1.08995325475971,52.6420138037417,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0
45,City of Leicester (B),Unitary Authority,97712,Grid7_5,-1.10478083830138,52.6420138037417,0,0,2,1,0,0,0,3,7,0,0,0,3,9,0
46,City of Leicester (B),Unitary Authority,97712,Grid9_5,-1.07512567121804,52.6420138037417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,City of Leicester (B),Unitary Authority,97712,Grid11_5,-1.0454705041347,52.6420138037417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,City of Leicester (B),Unitary Authority,97712,Grid0_6,-1.20857544762759,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,City of Leicester (B),Unitary Authority,97712,Grid10_5,-1.06029808767637,52.6420138037417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,City of Leicester (B),Unitary Authority,97712,Grid1_6,-1.19375091315496,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,City of Leicester (B),Unitary Authority,97712,Grid2_6,-1.17892637868234,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,City of Leicester (B),Unitary Authority,97712,Grid3_6,-1.16410184420971,52.6330156021902,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
53,City of Leicester (B),Unitary Authority,97712,Grid4_6,-1.14927730973709,52.6330156021902,0,0,0,2,0,2,0,0,15,1,7,0,2,21,19
54,City of Leicester (B),Unitary Authority,97712,Grid6_6,-1.11962824079184,52.6330156021902,2,0,0,1,3,7,1,6,9,13,7,1,25,20,27
55,City of Leicester (B),Unitary Authority,97712,Grid7_6,-1.10480370631921,52.6330156021902,0,0,0,3,0,0,0,0,5,0,0,0,3,8,0
56,City of Leicester (B),Unitary Authority,97712,Grid5_6,-1.13445277526446,52.6330156021902,0,0,3,4,25,5,0,28,13,51,10,1,32,28,58
57,City of Leicester (B),Unitary Authority,97712,Grid8_6,-1.08997917184659,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
58,City of Leicester (B),Unitary Authority,97712,Grid9_6,-1.07515463737396,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,City of Leicester (B),Unitary Authority,97712,Grid10_6,-1.06033010290134,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,City of Leicester (B),Unitary Authority,97712,Grid11_6,-1.04550556842871,52.6330156021902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,City of Leicester (B),Unitary Authority,97712,Grid2_7,-1.17893399730691,52.6240174006386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,City of Leicester (B),Unitary Authority,97712,Grid1_7,-1.1937554843297,52.6240174006386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,City of Leicester (B),Unitary Authority,97712,Grid0_7,-1.2085769713525,52.6240174006386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,City of Leicester (B),Unitary Authority,97712,Grid3_7,-1.16411251028411,52.6240174006386,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
65,City of Leicester (B),Unitary Authority,97712,Grid4_7,-1.14929102326131,52.6240174006386,1,0,0,1,0,2,0,0,6,0,4,0,0,15,1
66,City of Leicester (B),Unitary Authority,97712,Grid5_7,-1.13446953623851,52.6240174006386,2,0,0,1,0,5,0,4,5,6,7,1,18,23,44
67,City of Leicester (B),Unitary Authority,97712,Grid7_7,-1.10482656219292,52.6240174006386,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0
