,District,Description,GridName,Longitude,Latitude
75,Wandsworth London Boro,London Borough,Grid12_6,-0.168883602319566,51.4566457812722
76,Wandsworth London Boro,London Borough,Grid13_6,-0.16166352345658,51.4566457812722
77,Wandsworth London Boro,London Borough,Grid14_6,-0.154443444593593,51.4566457812722
78,Wandsworth London Boro,London Borough,Grid15_6,-0.147223365730607,51.4566457812722
79,Wandsworth London Boro,London Borough,Grid0_7,-0.255524904424705,51.4521466804964
80,Wandsworth London Boro,London Borough,Grid1_7,-0.248305537060321,51.4521466804964
81,Wandsworth London Boro,London Borough,Grid2_7,-0.241086169695937,51.4521466804964
82,Wandsworth London Boro,London Borough,Grid3_7,-0.233866802331553,51.4521466804964
83,Wandsworth London Boro,London Borough,Grid4_7,-0.226647434967169,51.4521466804964
84,Wandsworth London Boro,London Borough,Grid5_7,-0.219428067602784,51.4521466804964
85,Wandsworth London Boro,London Borough,Grid6_7,-0.2122087002384,51.4521466804964
86,Wandsworth London Boro,London Borough,Grid7_7,-0.204989332874016,51.4521466804964
87,Wandsworth London Boro,London Borough,Grid8_7,-0.197769965509632,51.4521466804964
88,Wandsworth London Boro,London Borough,Grid9_7,-0.190550598145248,51.4521466804964
89,Wandsworth London Boro,London Borough,Grid10_7,-0.183331230780863,51.4521466804964
90,Wandsworth London Boro,London Borough,Grid11_7,-0.176111863416479,51.4521466804964
91,Wandsworth London Boro,London Borough,Grid12_7,-0.168892496052095,51.4521466804964
92,Wandsworth London Boro,London Borough,Grid13_7,-0.161673128687711,51.4521466804964
93,Wandsworth London Boro,London Borough,Grid14_7,-0.154453761323327,51.4521466804964
94,Wandsworth London Boro,London Borough,Grid15_7,-0.147234393958942,51.4521466804964
95,Wandsworth London Boro,London Borough,Grid16_7,-0.140015026594558,51.4521466804964
96,Wandsworth London Boro,London Borough,Grid1_8,-0.248306604031144,51.4476475797206
97,Wandsworth London Boro,London Borough,Grid2_8,-0.241087947980641,51.4476475797206
98,Wandsworth London Boro,London Borough,Grid3_8,-0.233869291930138,51.4476475797206
99,Wandsworth London Boro,London Borough,Grid4_8,-0.226650635879636,51.4476475797206
100,Wandsworth London Boro,London Borough,Grid5_8,-0.219431979829133,51.4476475797206
101,Wandsworth London Boro,London Borough,Grid7_8,-0.204994667728128,51.4476475797206
102,Wandsworth London Boro,London Borough,Grid6_8,-0.21221332377863,51.4476475797206
103,Wandsworth London Boro,London Borough,Grid8_8,-0.197776011677625,51.4476475797206
104,Wandsworth London Boro,London Borough,Grid9_8,-0.190557355627122,51.4476475797206
105,Wandsworth London Boro,London Borough,Grid10_8,-0.18333869957662,51.4476475797206
106,Wandsworth London Boro,London Borough,Grid11_8,-0.176120043526117,51.4476475797206
107,Wandsworth London Boro,London Borough,Grid15_8,-0.147245419324107,51.4476475797206
108,Wandsworth London Boro,London Borough,Grid12_8,-0.168901387475614,51.4476475797206
109,Wandsworth London Boro,London Borough,Grid16_8,-0.140026763273604,51.4476475797206
110,Wandsworth London Boro,London Borough,Grid13_8,-0.161682731425112,51.4476475797206
111,Wandsworth London Boro,London Borough,Grid14_8,-0.154464075374609,51.4476475797206
112,Wandsworth London Boro,London Borough,Grid1_9,-0.24830767072498,51.4431484789449
113,Wandsworth London Boro,London Borough,Grid2_9,-0.241089725803701,51.4431484789449
114,Wandsworth London Boro,London Borough,Grid4_9,-0.226653835961144,51.4431484789449
115,Wandsworth London Boro,London Borough,Grid3_9,-0.233871780882423,51.4431484789449
116,Wandsworth London Boro,London Borough,Grid5_9,-0.219435891039866,51.4431484789449
117,Wandsworth London Boro,London Borough,Grid6_9,-0.212217946118588,51.4431484789449
118,Wandsworth London Boro,London Borough,Grid7_9,-0.205000001197309,51.4431484789449
119,Wandsworth London Boro,London Borough,Grid8_9,-0.197782056276031,51.4431484789449
120,Wandsworth London Boro,London Borough,Grid9_9,-0.190564111354752,51.4431484789449
121,Wandsworth London Boro,London Borough,Grid10_9,-0.183346166433474,51.4431484789449
122,Wandsworth London Boro,London Borough,Grid11_9,-0.176128221512195,51.4431484789449
123,Wandsworth London Boro,London Borough,Grid12_9,-0.168910276590917,51.4431484789449
124,Wandsworth London Boro,London Borough,Grid13_9,-0.161692331669638,51.4431484789449
125,Wandsworth London Boro,London Borough,Grid14_9,-0.15447438674836,51.4431484789449
126,Wandsworth London Boro,London Borough,Grid15_9,-0.147256441827081,51.4431484789449
127,Wandsworth London Boro,London Borough,Grid16_9,-0.140038496905803,51.4431484789449
128,Wandsworth London Boro,London Borough,Grid17_9,-0.132820551984524,51.4431484789449
129,Wandsworth London Boro,London Borough,Grid0_10,-0.255525971118573,51.4386493781691
130,Wandsworth London Boro,London Borough,Grid1_10,-0.248308737141925,51.4386493781691
131,Wandsworth London Boro,London Borough,Grid3_10,-0.233874269188628,51.4386493781691
132,Wandsworth London Boro,London Borough,Grid6_10,-0.212222567258683,51.4386493781691
133,Wandsworth London Boro,London Borough,Grid2_10,-0.241091503165277,51.4386493781691
134,Wandsworth London Boro,London Borough,Grid4_10,-0.22665703521198,51.4386493781691
135,Wandsworth London Boro,London Borough,Grid5_10,-0.219439801235331,51.4386493781691
136,Wandsworth London Boro,London Borough,Grid7_10,-0.205005333282035,51.4386493781691
137,Wandsworth London Boro,London Borough,Grid9_10,-0.190570865328738,51.4386493781691
138,Wandsworth London Boro,London Borough,Grid8_10,-0.197788099305386,51.4386493781691
139,Wandsworth London Boro,London Borough,Grid10_10,-0.183353631352089,51.4386493781691
140,Wandsworth London Boro,London Borough,Grid11_10,-0.176136397375441,51.4386493781691
141,Wandsworth London Boro,London Borough,Grid12_10,-0.168919163398793,51.4386493781691
142,Wandsworth London Boro,London Borough,Grid13_10,-0.161701929422144,51.4386493781691
143,Wandsworth London Boro,London Borough,Grid14_10,-0.154484695445496,51.4386493781691
144,Wandsworth London Boro,London Borough,Grid16_10,-0.140050227492199,51.4386493781691
145,Wandsworth London Boro,London Borough,Grid15_10,-0.147267461468848,51.4386493781691
146,Wandsworth London Boro,London Borough,Grid1_11,-0.248309803282074,51.4341502773933
147,Wandsworth London Boro,London Borough,Grid0_11,-0.255526326498623,51.4341502773933
148,Wandsworth London Boro,London Borough,Grid2_11,-0.241093280065525,51.4341502773933
149,Wandsworth London Boro,London Borough,Grid3_11,-0.233876756848976,51.4341502773933
150,Wandsworth London Boro,London Borough,Grid9_11,-0.190577617549682,51.4341502773933
151,Wandsworth London Boro,London Borough,Grid12_11,-0.168928047900035,51.4341502773933
152,Wandsworth London Boro,London Borough,Grid13_11,-0.161711524683486,51.4341502773933
153,Wandsworth London Boro,London Borough,Grid10_11,-0.183361094333133,51.4341502773933
154,Wandsworth London Boro,London Borough,Grid11_11,-0.176144571116584,51.4341502773933
155,Wandsworth London Boro,London Borough,Grid14_11,-0.154495001466937,51.4341502773933
156,Wandsworth London Boro,London Borough,Grid10_2,-0.183293857695245,51.4746421843752
157,Wandsworth London Boro,London Borough,Grid15_11,-0.147278478250388,51.4341502773933
158,Wandsworth London Boro,London Borough,Grid11_2,-0.176070930989373,51.4746421843752
159,Wandsworth London Boro,London Borough,Grid16_11,-0.140061955033839,51.4341502773933
160,Wandsworth London Boro,London Borough,Grid17_11,-0.132845431817289,51.4341502773933
161,Wandsworth London Boro,London Borough,Grid12_2,-0.168848004283501,51.4746421843752
162,Wandsworth London Boro,London Borough,Grid13_2,-0.161625077577629,51.4746421843752
163,Wandsworth London Boro,London Borough,Grid9_12,-0.190584368018184,51.4296511766176
164,Wandsworth London Boro,London Borough,Grid10_12,-0.183368555377267,51.4296511766176
165,Wandsworth London Boro,London Borough,Grid13_12,-0.161721117454516,51.4296511766176
166,Wandsworth London Boro,London Borough,Grid11_12,-0.17615274273635,51.4296511766176
167,Wandsworth London Boro,London Borough,Grid14_12,-0.154505304813599,51.4296511766176
168,Wandsworth London Boro,London Borough,Grid12_12,-0.168936930095433,51.4296511766176
169,Wandsworth London Boro,London Borough,Grid16_12,-0.140073679531764,51.4296511766176
170,Wandsworth London Boro,London Borough,Grid15_12,-0.147289492172681,51.4296511766176
171,Wandsworth London Boro,London Borough,Grid17_12,-0.132857866890847,51.4296511766176
172,Wandsworth London Boro,London Borough,Grid11_13,-0.176160912235468,51.4251520758418
173,Wandsworth London Boro,London Borough,Grid10_13,-0.183376014485158,51.4251520758418
174,Wandsworth London Boro,London Borough,Grid12_13,-0.168945809985779,51.4251520758418
175,Wandsworth London Boro,London Borough,Grid13_13,-0.161730707736089,51.4251520758418
176,Wandsworth London Boro,London Borough,Grid15_13,-0.14730050323671,51.4251520758418
177,Wandsworth London Boro,London Borough,Grid14_13,-0.1545156054864,51.4251520758418
178,Wandsworth London Boro,London Borough,Grid16_13,-0.14008540098702,51.4251520758418
179,Wandsworth London Boro,London Borough,Grid11_14,-0.176169079614665,51.4206529750661
180,Wandsworth London Boro,London Borough,Grid12_14,-0.168954687571862,51.4206529750661
181,Wandsworth London Boro,London Borough,Grid14_14,-0.154525903486256,51.4206529750661
182,Wandsworth London Boro,London Borough,Grid16_14,-0.14009711940065,51.4206529750661
183,Wandsworth London Boro,London Borough,Grid13_14,-0.161740295529059,51.4206529750661
184,Wandsworth London Boro,London Borough,Grid15_14,-0.147311511443453,51.4206529750661
185,Wandsworth London Boro,London Borough,Grid16_15,-0.140108834773695,51.4161538742903
186,Wandsworth London Boro,London Borough,Grid15_15,-0.147322516793889,51.4161538742903
