,Local_Authority_District_code__2019_,Local_Authority_District_name__2019_,Index_of_Multiple_Deprivation__IMD__Score,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived_,Index_of_Multiple_Deprivation__IMD__Score_1,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived__1,Index_of_Multiple_Deprivation__IMD__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Score__rate_,Income_Rank__where_1_is_most_deprived_,Income_Decile__where_1_is_most_deprived_10__of_LSOAs_,Employment_Score__rate_,Employment_Rank__where_1_is_most_deprived_,Employment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Education__Skills_and_Training_Score,Education__Skills_and_Training_Rank__where_1_is_most_deprived_,Education__Skills_and_Training_Decile__where_1_is_most_deprived_10__of_LSOAs_,Health_Deprivation_and_Disability_Score,Health_Deprivation_and_Disability_Rank__where_1_is_most_deprived_,Health_Deprivation_and_Disability_Decile__where_1_is_most_deprived_10__of_LSOAs_,Crime_Score,Crime_Rank__where_1_is_most_deprived_,Crime_Decile__where_1_is_most_deprived_10__of_LSOAs_,Barriers_to_Housing_and_Services_Score,Barriers_to_Housing_and_Services_Rank__where_1_is_most_deprived_,Barriers_to_Housing_and_Services_Decile__where_1_is_most_deprived_10__of_LSOAs_,Living_Environment_Score,Living_Environment_Rank__where_1_is_most_deprived_,Living_Environment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Children_Index__IDACI__Score__rate_,Income_Deprivation_Affecting_Children_Index__IDACI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Children_Index__IDACI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Older_People__IDAOPI__Score__rate_,Income_Deprivation_Affecting_Older_People__IDAOPI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Older_People__IDAOPI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Children_and_Young_People_Sub_domain_Score,Children_and_Young_People_Sub_domain_Rank__where_1_is_most_deprived_,Children_and_Young_People_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Adult_Skills_Sub_domain_Score,Adult_Skills_Sub_domain_Rank__where_1_is_most_deprived_,Adult_Skills_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Geographical_Barriers_Sub_domain_Score,Geographical_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Geographical_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Wider_Barriers_Sub_domain_Score,Wider_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Wider_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Indoors_Sub_domain_Score,Indoors_Sub_domain_Rank__where_1_is_most_deprived_,Indoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Outdoors_Sub_domain_Score,Outdoors_Sub_domain_Rank__where_1_is_most_deprived_,Outdoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Total_population__mid_2015__excluding_prisoners_,Dependent_Children_aged_0_15__mid_2015__excluding_prisoners_,Population_aged_16_59__mid_2015__excluding_prisoners_,Older_population_aged_60_and_over__mid_2015__excluding_prisoners_,Working_age_population_18_59_64__for_use_with_Employment_Deprivation_Domain__excluding_prisoners__,longitude,latitude,lng,lat
191,E06000016,Leicester,4.939,30561,4.939,30561,10,0.034,30051,10,0.026,31438,10,0.946,32079,10,-0.759,26559,9,-0.162,19074,6,18.843,18069,6,15.117,19090,6,0.038,29342,9,0.055,28145,9,-1.562,32127,10,0.145,30892,10,0.514,7804,3,-1.967,25695,8,-0.104,18093,6,0.047,14519,5,1641,364,913,364,918,-1.101357123248533,52.60537407767975,-1.09005684056622,52.6060209975356
114,E06000016,Leicester,24.045,11362,24.045,11362,4,0.16,9644,3,0.138,7655,3,8.063,23871,8,0.581,8156,3,0.65,7079,3,20.871,15644,5,9.568,24513,8,0.182,11395,4,0.155,13611,5,-0.544,24525,8,0.251,21578,7,0.317,10525,4,-0.161,16031,5,-1.03,29277,9,0.24,11556,4,1493,280,869,344,845,-1.122369953520467,52.605171597998,-1.11968763451861,52.6060209975356
191,E06000016,Leicester,4.939,30561,4.939,30561,10,0.034,30051,10,0.026,31438,10,0.946,32079,10,-0.759,26559,9,-0.162,19074,6,18.843,18069,6,15.117,19090,6,0.038,29342,9,0.055,28145,9,-1.562,32127,10,0.145,30892,10,0.514,7804,3,-1.967,25695,8,-0.104,18093,6,0.047,14519,5,1641,364,913,364,918,-1.101357123248533,52.60537407767975,-1.10487223754241,52.6060209975356
62,E06000016,Leicester,34.751,5980,34.751,5980,2,0.167,8995,3,0.155,6158,2,36.673,6266,2,1.025,4052,2,0.95,3924,2,29.75,7143,3,14.926,19273,6,0.211,9318,3,0.16,13110,4,0.7,6499,2,0.41,6157,2,0.948,3779,2,-0.763,19368,6,-0.496,23871,8,0.494,8475,3,1569,310,833,426,829,-1.162826983614924,52.5940662765374,-1.17895682892107,52.597022795984
52,E06000016,Leicester,36.302,5435,36.302,5435,2,0.224,5302,2,0.178,4396,2,31.422,8023,3,0.922,4851,2,1.012,3429,2,11.87,26696,9,25.425,11513,4,0.282,5240,2,0.197,10177,4,0.622,7390,3,0.373,8784,3,-0.213,19472,6,-0.767,19389,6,0.252,12561,4,0.592,7493,3,1707,390,942,375,936,-1.151096826469149,52.59866513682102,-1.1493321201668,52.597022795984
62,E06000016,Leicester,34.751,5980,34.751,5980,2,0.167,8995,3,0.155,6158,2,36.673,6266,2,1.025,4052,2,0.95,3924,2,29.75,7143,3,14.926,19273,6,0.211,9318,3,0.16,13110,4,0.7,6499,2,0.41,6157,2,0.948,3779,2,-0.763,19368,6,-0.496,23871,8,0.494,8475,3,1569,310,833,426,829,-1.162826983614924,52.5940662765374,-1.16414447454394,52.597022795984
21,E06000016,Leicester,55.718,1386,55.718,1386,1,0.336,1282,1,0.223,2158,1,73.63,569,1,1.636,1027,1,0.757,5866,2,17.214,20159,7,23.302,12921,4,0.431,943,1,0.353,2956,1,1.585,783,1,0.535,1084,1,-0.302,20931,7,0.847,11172,4,0.196,13365,5,0.458,8837,3,1536,482,893,161,847,-1.131030189553053,52.59522973853825,-1.13451976578967,52.597022795984
184,E06000016,Leicester,11.235,23068,11.235,23068,8,0.072,21073,7,0.059,21706,7,8.668,23228,8,-0.164,18598,6,0.381,10727,4,13.275,25088,8,15.429,18860,6,0.074,23315,8,0.129,16319,5,-0.655,25976,8,0.271,19303,6,-0.062,16773,6,-0.855,19861,7,-0.329,21582,7,0.382,9734,3,1534,320,836,378,823,-1.118561383618473,52.59835307376127,-1.11970741141254,52.597022795984
184,E06000016,Leicester,11.235,23068,11.235,23068,8,0.072,21073,7,0.059,21706,7,8.668,23228,8,-0.164,18598,6,0.381,10727,4,13.275,25088,8,15.429,18860,6,0.074,23315,8,0.129,16319,5,-0.655,25976,8,0.271,19303,6,-0.062,16773,6,-0.855,19861,7,-0.329,21582,7,0.382,9734,3,1534,320,836,378,823,-1.118561383618473,52.59835307376127,-1.10489505703541,52.597022795984
40,E06000016,Leicester,43.736,3309,43.736,3309,2,0.287,2613,1,0.2,3103,1,45.099,4151,2,1.42,1786,1,0.683,6696,3,12.457,26055,8,17.906,16898,6,0.29,4824,2,0.397,1927,1,0.517,8643,3,0.503,1988,1,-0.739,27293,9,0.428,13090,4,-0.251,20409,7,0.561,7779,3,1535,330,869,336,863,-1.167322732397333,52.61641233135881,-1.16412317069527,52.6150191990871
22,E06000016,Leicester,71.829,203,71.829,203,1,0.413,297,1,0.303,421,1,91.615,43,1,1.812,634,1,1.572,870,1,19.787,16900,6,11.797,22174,7,0.464,565,1,0.431,1345,1,1.841,280,1,0.617,112,1,-0.288,20704,7,1.403,8946,3,-1.113,29805,10,0.518,8222,3,1680,486,938,256,926,-1.135099157718082,52.60241615507531,-1.13450303149481,52.6060209975356
62,E06000016,Leicester,34.751,5980,34.751,5980,2,0.167,8995,3,0.155,6158,2,36.673,6266,2,1.025,4052,2,0.95,3924,2,29.75,7143,3,14.926,19273,6,0.211,9318,3,0.16,13110,4,0.7,6499,2,0.41,6157,2,0.948,3779,2,-0.763,19368,6,-0.496,23871,8,0.494,8475,3,1569,310,833,426,829,-1.162826983614924,52.5940662765374,-1.16415511798946,52.5880245944325
57,E06000016,Leicester,37.311,5112,37.311,5112,2,0.214,5885,2,0.162,5542,2,46.959,3772,2,1.098,3535,2,1.147,2545,1,10.163,28450,9,17.086,17509,6,0.289,4876,2,0.217,8847,3,1.059,3295,2,0.438,4580,2,-0.505,24139,8,-0.562,18193,6,-0.119,18347,6,0.295,10823,4,1694,376,950,368,937,-1.138436838301442,52.59464321673795,-1.13453649120407,52.5880245944325
21,E06000016,Leicester,55.718,1386,55.718,1386,1,0.336,1282,1,0.223,2158,1,73.63,569,1,1.636,1027,1,0.757,5866,2,17.214,20159,7,23.302,12921,4,0.431,943,1,0.353,2956,1,1.585,783,1,0.535,1084,1,-0.302,20931,7,0.847,11172,4,0.196,13365,5,0.458,8837,3,1536,482,893,161,847,-1.131030189553053,52.59522973853825,-1.11972717781138,52.5880245944325
20,E06000016,Leicester,51.943,1879,51.943,1879,1,0.283,2774,1,0.206,2876,1,67.673,951,1,1.49,1516,1,1.334,1612,1,22.445,13805,5,17.909,16895,6,0.382,1807,1,0.275,5706,2,1.46,1149,1,0.518,1522,1,0.184,12516,4,0.731,11718,4,0.131,14427,5,-0.026,15714,5,1491,348,851,292,840,-1.154785577439872,52.58327306907491,-1.1641657557878,52.579026392881
20,E06000016,Leicester,51.943,1879,51.943,1879,1,0.283,2774,1,0.206,2876,1,67.673,951,1,1.49,1516,1,1.334,1612,1,22.445,13805,5,17.909,16895,6,0.382,1807,1,0.275,5706,2,1.46,1149,1,0.518,1522,1,0.184,12516,4,0.731,11718,4,0.131,14427,5,-0.026,15714,5,1491,348,851,292,840,-1.154785577439872,52.58327306907491,-1.14935948176605,52.579026392881
62,E06000016,Leicester,34.751,5980,34.751,5980,2,0.167,8995,3,0.155,6158,2,36.673,6266,2,1.025,4052,2,0.95,3924,2,29.75,7143,3,14.926,19273,6,0.211,9318,3,0.16,13110,4,0.7,6499,2,0.41,6157,2,0.948,3779,2,-0.763,19368,6,-0.496,23871,8,0.494,8475,3,1569,310,833,426,829,-1.162826983614924,52.5940662765374,-1.17896443138216,52.5880245944325
18,E06000016,Leicester,58.904,1024,58.904,1024,1,0.313,1844,1,0.266,936,1,78.571,344,1,1.595,1144,1,1.086,2902,1,15.05,22947,7,20.504,14898,5,0.336,3047,1,0.355,2914,1,1.645,625,1,0.555,703,1,-0.624,25866,8,0.899,10946,4,0.188,13495,5,0.163,12671,4,1608,329,800,479,805,-1.149153240385501,52.58964341032872,-1.14934580459677,52.5880245944325
