,Local_Authority_District_code__2019_,Local_Authority_District_name__2019_,Index_of_Multiple_Deprivation__IMD__Score,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived_,Index_of_Multiple_Deprivation__IMD__Score_1,Index_of_Multiple_Deprivation__IMD__Rank__where_1_is_most_deprived__1,Index_of_Multiple_Deprivation__IMD__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Score__rate_,Income_Rank__where_1_is_most_deprived_,Income_Decile__where_1_is_most_deprived_10__of_LSOAs_,Employment_Score__rate_,Employment_Rank__where_1_is_most_deprived_,Employment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Education__Skills_and_Training_Score,Education__Skills_and_Training_Rank__where_1_is_most_deprived_,Education__Skills_and_Training_Decile__where_1_is_most_deprived_10__of_LSOAs_,Health_Deprivation_and_Disability_Score,Health_Deprivation_and_Disability_Rank__where_1_is_most_deprived_,Health_Deprivation_and_Disability_Decile__where_1_is_most_deprived_10__of_LSOAs_,Crime_Score,Crime_Rank__where_1_is_most_deprived_,Crime_Decile__where_1_is_most_deprived_10__of_LSOAs_,Barriers_to_Housing_and_Services_Score,Barriers_to_Housing_and_Services_Rank__where_1_is_most_deprived_,Barriers_to_Housing_and_Services_Decile__where_1_is_most_deprived_10__of_LSOAs_,Living_Environment_Score,Living_Environment_Rank__where_1_is_most_deprived_,Living_Environment_Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Children_Index__IDACI__Score__rate_,Income_Deprivation_Affecting_Children_Index__IDACI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Children_Index__IDACI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Income_Deprivation_Affecting_Older_People__IDAOPI__Score__rate_,Income_Deprivation_Affecting_Older_People__IDAOPI__Rank__where_1_is_most_deprived_,Income_Deprivation_Affecting_Older_People__IDAOPI__Decile__where_1_is_most_deprived_10__of_LSOAs_,Children_and_Young_People_Sub_domain_Score,Children_and_Young_People_Sub_domain_Rank__where_1_is_most_deprived_,Children_and_Young_People_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Adult_Skills_Sub_domain_Score,Adult_Skills_Sub_domain_Rank__where_1_is_most_deprived_,Adult_Skills_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Geographical_Barriers_Sub_domain_Score,Geographical_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Geographical_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Wider_Barriers_Sub_domain_Score,Wider_Barriers_Sub_domain_Rank__where_1_is_most_deprived_,Wider_Barriers_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Indoors_Sub_domain_Score,Indoors_Sub_domain_Rank__where_1_is_most_deprived_,Indoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Outdoors_Sub_domain_Score,Outdoors_Sub_domain_Rank__where_1_is_most_deprived_,Outdoors_Sub_domain_Decile__where_1_is_most_deprived_10__of_LSOAs_,Total_population__mid_2015__excluding_prisoners_,Dependent_Children_aged_0_15__mid_2015__excluding_prisoners_,Population_aged_16_59__mid_2015__excluding_prisoners_,Older_population_aged_60_and_over__mid_2015__excluding_prisoners_,Working_age_population_18_59_64__for_use_with_Employment_Deprivation_Domain__excluding_prisoners__,longitude,latitude,lng,lat
135,E06000016,Leicester,20.187,14181,20.187,14181,5,0.152,10351,4,0.089,14507,5,31.525,7981,3,0.642,7479,3,-0.587,24933,8,11.644,26968,9,8.03,26142,8,0.236,7720,3,0.181,11424,4,0.748,5972,2,0.35,10724,4,-0.396,22466,7,-0.361,17139,6,-0.55,24526,8,-0.298,20327,7,1635,370,1010,255,1013,-1.162877245504734,52.6737363445867,-1.16405912319928,52.6690084083963
119,E06000016,Leicester,23.252,11886,23.252,11886,4,0.169,8871,3,0.103,12017,4,19.741,13918,5,0.239,12532,4,0.432,10016,4,16.96,20487,7,28.535,9647,3,0.105,18815,6,0.304,4539,2,-1.137,30335,10,0.412,6037,2,0.132,13392,5,-0.506,17902,6,-0.017,16744,6,1.272,2592,1,1430,218,787,425,800,-1.109539828264137,52.666344960411536,-1.11954890177246,52.6690084083963
0,E06000016,Leicester,51.66,1928,51.66,1928,1,0.326,1524,1,0.197,3294,2,75.179,500,1,1.3,2348,1,0.845,4936,2,15.72,22051,7,24.518,12085,4,0.443,785,1,0.337,3387,2,1.521,967,1,0.553,719,1,-0.645,26160,8,1.079,10184,4,0.391,10666,4,0.224,11793,4,2001,546,1120,335,1114,-1.148395212036111,52.669060717724506,-1.14922238272367,52.6690084083963
160,E06000016,Leicester,16.995,16997,16.995,16997,6,0.121,13526,5,0.093,13856,5,18.161,15032,5,0.233,12621,4,-0.101,18141,6,13.33,25025,8,13.854,20263,7,0.065,24653,8,0.214,9063,3,-0.931,28807,9,0.391,7377,3,-0.227,19715,7,-0.303,16816,6,-0.355,21933,7,0.233,11663,4,1282,152,691,439,725,-1.100748397226839,52.66892420148982,-1.10471216129686,52.6690084083963
148,E06000016,Leicester,19.416,14900,19.416,14900,5,0.112,14679,5,0.076,17200,6,27.211,9729,3,0.08,14812,5,-0.197,19576,6,20.73,15801,5,34.074,6649,3,0.173,12084,4,0.123,16999,6,0.37,10487,4,0.369,9088,3,0.366,9786,3,-0.418,17440,6,0.747,6279,2,0.425,9185,3,1935,393,1153,389,1181,-1.086903696950378,52.66761928383711,-1.08987542082125,52.6690084083963
147,E06000016,Leicester,20.228,14151,20.228,14151,5,0.111,14796,5,0.073,17944,6,29.218,8886,3,0.707,6809,3,-0.778,27083,9,27.133,9136,3,17.383,17304,6,0.132,15823,5,0.234,7831,3,0.177,13251,5,0.413,5949,2,0.734,5502,2,-0.374,17207,6,-0.041,17100,6,0.21,11990,4,1914,504,1181,229,1173,-1.084378365449663,52.66540821765128,-1.07503868034565,52.6690084083963
144,E06000016,Leicester,19.07,15174,19.07,15174,5,0.157,9885,4,0.083,15751,5,15.826,16725,6,0.275,11985,4,-0.288,20877,7,28.644,7936,3,5.162,29148,9,0.183,11306,4,0.313,4161,2,0.18,13215,5,0.265,20064,7,0.694,5898,2,0.224,14067,5,-1.609,31855,10,-0.135,17597,6,2047,617,1302,128,1252,-1.061402734110229,52.66024636252043,-1.06020193987004,52.6690084083963
123,E06000016,Leicester,23.374,11782,23.374,11782,4,0.144,11092,4,0.113,10545,4,24.105,11289,4,0.379,10604,4,0.099,15144,5,29.621,7230,3,10.608,23427,8,0.184,11193,4,0.21,9305,3,0.532,8453,3,0.31,14895,5,0.881,4253,2,-0.442,17565,6,-0.585,24975,8,0.087,13879,5,2597,585,1703,309,1691,-1.17709340201627,52.66167809368122,-1.17890349850888,52.6600102068448
5,E06000016,Leicester,58.397,1077,58.397,1077,1,0.377,624,1,0.258,1115,1,55.405,2336,1,1.564,1254,1,0.945,3981,2,27.636,8729,3,9.023,25070,8,0.443,783,1,0.375,2434,1,0.816,5318,2,0.533,1128,1,0.215,12058,4,1.784,7589,3,-1.095,29707,10,0.204,12074,4,1879,600,1061,218,1029,-1.152630836395652,52.66157526346528,-1.14923612542486,52.6600102068448
3,E06000016,Leicester,62.485,705,62.485,705,1,0.359,882,1,0.251,1274,1,64.023,1284,1,1.692,886,1,1.456,1186,1,30.841,6396,2,16.538,17954,6,0.441,809,1,0.385,2191,1,1.389,1417,1,0.507,1862,1,0.412,9135,3,1.818,7493,3,-0.765,27005,9,0.851,5232,2,1836,480,1061,295,1058,-1.134362765675105,52.66123617154525,-1.13440243888285,52.6600102068448
7,E06000016,Leicester,53.974,1600,53.974,1600,1,0.36,861,1,0.247,1374,1,48.714,3470,2,1.28,2453,1,1.217,2148,1,19.843,16838,6,13.069,20982,7,0.448,713,1,0.337,3378,2,0.797,5519,2,0.494,2263,1,-0.427,22940,7,1.667,8008,3,-0.586,24997,8,0.365,9933,4,1581,423,930,228,913,-1.163524274168103,52.65950217698779,-1.16406981196687,52.6600102068448
140,E06000016,Leicester,21.546,13144,21.546,13144,5,0.156,9984,4,0.112,10764,4,22.084,12489,4,0.269,12070,4,0.218,13222,5,14.696,23405,8,16.867,17696,6,0.162,12972,4,0.248,7012,3,-0.621,25539,8,0.415,5819,2,-0.207,19354,6,0.007,15163,5,-0.17,19152,6,0.342,10216,4,1470,260,821,389,847,-1.100348684490024,52.66068100487207,-1.10473506579884,52.6600102068448
175,E06000016,Leicester,12.357,21764,12.357,21764,7,0.093,17392,6,0.072,18239,6,9.664,22203,7,0.116,14269,5,-0.68,26001,8,21.019,15482,5,6.233,28078,9,0.109,18395,6,0.222,8551,3,-0.553,24643,8,0.277,18628,6,0.34,10190,4,-0.216,16333,5,-1.565,31734,10,-0.004,15365,5,2414,661,1569,184,1561,-1.067641170747676,52.66087455950552,-1.07506769271482,52.6600102068448
147,E06000016,Leicester,20.228,14151,20.228,14151,5,0.111,14796,5,0.073,17944,6,29.218,8886,3,0.707,6809,3,-0.778,27083,9,27.133,9136,3,17.383,17304,6,0.132,15823,5,0.234,7831,3,0.177,13251,5,0.413,5949,2,0.734,5502,2,-0.374,17207,6,-0.041,17100,6,0.21,11990,4,1914,504,1181,229,1173,-1.084378365449663,52.66540821765128,-1.08990137925683,52.6600102068448
144,E06000016,Leicester,19.07,15174,19.07,15174,5,0.157,9885,4,0.083,15751,5,15.826,16725,6,0.275,11985,4,-0.288,20877,7,28.644,7936,3,5.162,29148,9,0.183,11306,4,0.313,4161,2,0.18,13215,5,0.265,20064,7,0.694,5898,2,0.224,14067,5,-1.609,31855,10,-0.135,17597,6,2047,617,1302,128,1252,-1.061402734110229,52.66024636252043,-1.06023400617281,52.6600102068448
161,E06000016,Leicester,16.5,17469,16.5,17469,6,0.106,15541,5,0.083,15669,5,19.18,14272,5,-0.182,18874,6,0.287,12138,4,15.346,22554,7,22.341,13629,5,0.086,21361,7,0.177,11725,4,-1.488,31929,10,0.412,6026,2,-0.042,16402,5,-0.315,16891,6,-0.159,18985,6,0.896,4874,2,1533,270,855,408,876,-1.116556279264439,52.661251717313945,-1.11956875234085,52.6600102068448
50,E06000016,Leicester,43.027,3475,43.027,3475,2,0.281,2857,1,0.189,3729,2,66.779,1013,1,1.011,4147,2,0.483,9305,3,13.18,25191,8,15.746,18636,6,0.353,2536,1,0.266,6115,2,1.233,2185,1,0.547,844,1,-0.5,24076,8,0.254,13933,5,-0.059,17405,6,0.053,14425,5,1787,548,974,265,957,-1.185071180793928,52.64552140399325,-1.19374176351728,52.6510120052932
25,E06000016,Leicester,48.968,2332,48.968,2332,1,0.315,1808,1,0.228,1961,1,62.469,1449,1,1.234,2680,1,0.715,6330,2,13.57,24729,8,14.49,19671,6,0.409,1305,1,0.237,7640,3,0.72,6293,2,0.59,291,1,-0.479,23740,8,0.312,13647,5,-0.639,25633,8,0.562,7764,3,1756,538,891,327,877,-1.179228317522963,52.64981229306611,-1.1789111292862,52.6510120052932
59,E06000016,Leicester,37.526,5039,37.526,5039,2,0.214,5878,2,0.147,6869,3,37.663,6004,2,0.74,6474,2,1.878,323,1,17.925,19229,6,22.398,13569,5,0.274,5622,2,0.248,7027,3,0.538,8371,3,0.444,4328,2,0.073,14394,5,-0.017,15286,5,-0.065,17491,6,0.786,5749,2,1628,339,835,454,851,-1.167356046299726,52.647878318066425,-1.16408049505512,52.6510120052932
130,E06000016,Leicester,22.482,12400,22.482,12400,4,0.114,14374,5,0.071,18472,6,13.329,18745,6,-0.044,16685,6,1.453,1198,1,25.579,10582,4,30.192,8695,3,0.167,12534,4,0.203,9772,3,-0.416,22700,7,0.312,14591,5,0.197,12308,4,1.395,8971,3,0.189,13474,5,1.136,3284,1,3181,533,2224,424,2266,-1.141440722442901,52.65056775686752,-1.13441922659296,52.6510120052932
115,E06000016,Leicester,23.024,12036,23.024,12036,4,0.182,7864,3,0.091,14135,5,42.137,4839,2,-0.107,17688,6,-0.422,22715,7,15.72,22049,7,26.688,10752,4,0.128,16246,5,0.522,517,1,0.016,15809,5,0.526,1318,1,-0.991,29731,10,1.409,8927,3,0.289,12018,4,0.657,6888,3,1681,294,1096,291,1097,-1.119017676515014,52.6515582814574,-1.11958859236188,52.6510120052932
53,E06000016,Leicester,35.507,5712,35.507,5712,2,0.247,4167,2,0.153,6277,2,48.894,3445,2,0.551,8498,3,0.482,9311,3,18.198,18868,6,27.399,10312,4,0.322,3559,2,0.312,4192,2,0.73,6161,2,0.504,1963,1,-0.278,20541,7,1.031,10419,4,0.248,12630,4,0.802,5630,2,1494,319,877,298,881,-1.106632088414748,52.6527464391024,-1.1047579581308,52.6510120052932
112,E06000016,Leicester,22.669,12271,22.669,12271,4,0.167,9027,3,0.106,11641,4,20.877,13217,5,0.549,8527,3,0.5,9078,3,15.87,21838,7,8.577,25555,8,0.216,9001,3,0.256,6615,3,0.075,14861,5,0.344,11357,4,0.061,14602,5,-0.545,18101,6,-1.102,29753,10,0.155,12783,4,2434,650,1442,342,1429,-1.069284929216465,52.65450489719436,-1.07509668966864,52.6510120052932
113,E06000016,Leicester,24.861,10848,24.861,10848,4,0.175,8443,3,0.133,8212,3,11.677,20254,7,0.601,7920,3,0.537,8573,3,17.947,19202,6,17.416,17277,6,0.196,10317,4,0.232,7941,3,-0.766,27261,9,0.317,14055,5,0.17,12734,4,-0.379,17234,6,-0.04,17081,6,0.212,11964,4,3107,732,1843,532,1882,-1.084613718667618,52.64755488047976,-1.08992732389972,52.6510120052932
173,E06000016,Leicester,13.342,20692,13.342,20692,7,0.092,17606,6,0.067,19570,6,14.66,17623,6,-0.166,18630,6,0.081,15390,5,13.038,25353,8,21.638,14094,5,0.132,15845,5,0.111,18474,6,-0.534,24391,8,0.337,12038,4,-0.109,17572,6,-0.763,19364,6,0.17,13812,5,0.328,10373,4,1687,277,933,477,941,-1.14892131792403,52.64984631155777,-1.14924986082404,52.6510120052932
44,E06000016,Leicester,37.238,5134,37.238,5134,2,0.281,2825,1,0.168,5139,2,45.801,3996,2,0.668,7201,3,0.617,7486,3,11.931,26638,9,20.026,15271,5,0.338,2981,1,0.3,4698,2,0.953,4112,2,0.448,4114,2,-0.876,28723,9,0.441,13028,4,0.243,12691,4,0.001,15276,5,1813,499,1050,264,1046,-1.062934785049478,52.64976449280099,-1.06026605543756,52.6510120052932
58,E06000016,Leicester,40.424,4135,40.424,4135,2,0.25,4024,2,0.174,4684,2,61.295,1598,1,1.128,3331,2,0.385,10677,4,18.264,18779,6,17.359,17322,6,0.354,2520,1,0.204,9650,3,1.191,2438,1,0.521,1441,1,-0.043,16427,6,0.449,12990,4,0.168,13842,5,-0.183,18366,6,1668,428,854,386,868,-1.052763789493993,52.65041742141546,-1.04543542120648,52.6510120052932
31,E06000016,Leicester,68.224,338,68.224,338,1,0.38,593,1,0.282,665,1,82.978,193,1,1.621,1059,1,1.835,370,1,17.896,19273,6,18.266,16602,6,0.462,591,1,0.312,4219,2,1.896,221,1,0.548,822,1,-0.348,21689,7,1.092,10130,4,-0.079,17714,6,0.368,9902,4,1629,443,974,212,966,-1.196378083416314,52.63785209362576,-1.20857392309306,52.6420138037417
29,E06000016,Leicester,52.184,1847,52.184,1847,1,0.303,2128,1,0.224,2123,1,61.084,1614,1,1.511,1431,1,1.351,1538,1,13.244,25119,8,17.793,16981,6,0.403,1413,1,0.246,7144,3,1.282,1939,1,0.506,1877,1,-0.425,22916,7,0.122,14563,5,0.032,15939,5,0.136,13072,4,1438,360,787,291,789,-1.190806177525021,52.64004340535877,-1.19374633955139,52.6420138037417
28,E06000016,Leicester,71.184,225,71.184,225,1,0.438,177,1,0.308,381,1,66.719,1018,1,1.877,505,1,1.516,1006,1,22.832,13389,5,21.928,13897,5,0.5,319,1,0.405,1767,1,0.895,4585,2,0.596,238,1,0.087,14166,5,1.129,9988,4,-0.043,17134,6,0.708,6409,2,1846,527,982,337,992,-1.172697403512424,52.643538886151546,-1.17891875600972,52.6420138037417
30,E06000016,Leicester,53.572,1658,53.572,1658,1,0.347,1069,1,0.229,1917,1,60.486,1686,1,1.072,3718,2,1.399,1360,1,18.168,18911,6,17.629,17111,6,0.458,620,1,0.274,5747,2,0.835,5128,2,0.56,606,1,-0.094,17305,6,0.575,12432,4,-0.222,19945,7,0.494,8473,3,1687,538,929,220,900,-1.165891554143086,52.64185963063964,-1.16409117246806,52.6420138037417
33,E06000016,Leicester,45.604,2936,45.604,2936,1,0.357,916,1,0.169,5015,2,53.356,2671,1,0.729,6597,3,0.429,10044,4,23.646,12498,4,31.514,7981,3,0.326,3372,2,0.785,15,1,0.121,14136,5,0.588,305,1,-0.545,24717,8,2.651,5204,2,0.149,14152,5,1.305,2412,1,2200,826,1169,205,1132,-1.123973429100759,52.64205700513151,-1.13443600538472,52.6420138037417
72,E06000016,Leicester,32.211,6999,32.211,6999,3,0.214,5891,2,0.119,9857,4,34.133,7056,3,0.551,8496,3,0.685,6674,3,12.258,26276,9,45.804,2712,1,0.265,6061,2,0.279,5554,2,0.573,7944,3,0.407,6367,2,-1.286,31428,10,0.766,11540,4,1.083,3238,1,0.694,6536,2,1971,456,1363,152,1376,-1.148259881913916,52.64212554393625,-1.14926358892639,52.6420138037417
34,E06000016,Leicester,44.532,3149,44.532,3149,1,0.338,1247,1,0.185,3989,2,56.644,2159,1,0.796,5944,2,0.102,15111,5,21.816,14536,5,25.697,11350,4,0.295,4604,2,0.73,37,1,0.3,11435,4,0.595,248,1,-1.392,31824,10,2.848,4720,2,0.031,15960,5,0.968,4374,2,2336,904,1204,228,1178,-1.122151336544932,52.64028348913326,-1.11960842184305,52.6420138037417
93,E06000016,Leicester,27.549,9272,27.549,9272,3,0.187,7567,3,0.108,11237,4,34.102,7066,3,0.397,10358,4,0.806,5355,2,14.028,24194,8,25.827,11276,4,0.18,11553,4,0.397,1949,1,0.265,11948,4,0.447,4181,2,-0.973,29606,10,1.022,10455,4,0.045,15733,5,0.96,4427,2,1883,478,1154,251,1159,-1.087938191956227,52.63936053911155,-1.08995325475971,52.6420138037417
91,E06000016,Leicester,28.199,8925,28.199,8925,3,0.175,8448,3,0.07,18874,6,70.365,759,1,-0.285,20419,7,-0.054,17483,6,15.931,21768,7,42.537,3526,2,0.164,12816,4,0.507,600,1,0.945,4183,2,0.622,99,1,-1.615,32330,10,1.66,8028,3,0.927,4448,2,0.806,5601,2,2123,574,1346,203,1321,-1.10515532626484,52.64070277765649,-1.10478083830138,52.6420138037417
162,E06000016,Leicester,17.258,16760,17.258,16760,6,0.113,14597,5,0.079,16515,6,16.036,16543,6,0.462,9567,3,-0.156,18982,6,15.511,22346,7,22.478,13494,5,0.09,20836,7,0.19,10715,4,-0.509,24034,8,0.349,10794,4,0.131,13405,5,-0.938,20344,7,0.026,16036,5,0.664,6813,3,1595,348,947,300,948,-1.075642758399462,52.64036991272465,-1.07512567121804,52.6420138037417
35,E06000016,Leicester,45.684,2913,45.684,2913,1,0.277,2950,1,0.219,2318,1,59.164,1828,1,1.323,2232,1,0.267,12444,4,18.222,18836,6,19.412,15740,5,0.297,4532,2,0.328,3659,2,1.135,2796,1,0.516,1572,1,-0.151,18369,6,0.745,11647,4,-0.007,16572,6,0.384,9704,3,1504,387,794,323,792,-1.050938276706206,52.64131228191388,-1.0454705041347,52.6420138037417
74,E06000016,Leicester,31.452,7321,31.452,7321,3,0.21,6113,2,0.139,7580,3,42.136,4842,2,0.67,7177,3,0.398,10473,4,25.614,10550,4,9.401,24673,8,0.296,4541,2,0.208,9448,3,0.892,4617,2,0.426,5194,2,0.541,7492,3,0.109,14641,5,-0.62,25410,8,-0.029,15759,5,1609,421,991,197,965,-1.197680502330446,52.63568323473256,-1.20857544762759,52.6330156021902
61,E06000016,Leicester,38.941,4585,38.941,4585,2,0.227,5151,2,0.193,3513,2,44.415,4306,2,1.411,1830,1,0.137,14529,5,17.605,19657,6,18.634,16325,5,0.224,8493,3,0.262,6317,2,0.664,6887,3,0.481,2752,1,-0.106,17514,6,0.465,12920,4,0.047,15701,5,0.208,12029,4,1564,288,736,540,760,-1.058339042878171,52.64123342687636,-1.06029808767637,52.6420138037417
74,E06000016,Leicester,31.452,7321,31.452,7321,3,0.21,6113,2,0.139,7580,3,42.136,4842,2,0.67,7177,3,0.398,10473,4,25.614,10550,4,9.401,24673,8,0.296,4541,2,0.208,9448,3,0.892,4617,2,0.426,5194,2,0.541,7492,3,0.109,14641,5,-0.62,25410,8,-0.029,15759,5,1609,421,991,197,965,-1.197680502330446,52.63568323473256,-1.19375091315496,52.6330156021902
9,E06000016,Leicester,49.006,2329,49.006,2329,1,0.272,3150,1,0.22,2247,1,68.703,870,1,1.573,1223,1,0.603,7707,3,12.712,25744,8,19.025,16022,5,0.316,3761,2,0.252,6799,3,1.22,2262,1,0.56,617,1,-1.215,31106,10,0.841,11195,4,0.17,13821,5,0.034,14740,5,1997,480,1079,438,1085,-1.174149687403512,52.6288996327274,-1.17892637868234,52.6330156021902
183,E06000016,Leicester,10.855,23493,10.855,23493,8,0.065,22516,7,0.055,23064,8,8.838,23036,8,-0.348,21424,7,0.559,8276,3,5.957,31566,10,21.784,13989,5,0.063,25121,8,0.106,19223,6,-0.23,19898,7,0.223,24828,8,-0.686,26652,9,-1.6,23926,8,0.171,13802,5,0.344,10184,4,1468,301,865,302,880,-1.163277499003022,52.63113231120151,-1.16410184420971,52.6330156021902
43,E06000016,Leicester,43.269,3407,43.269,3407,2,0.269,3245,1,0.122,9422,3,43.275,4571,2,1.082,3667,2,1.7,570,1,19.06,17796,6,41.356,3838,2,0.348,2684,1,0.401,1857,1,1.051,3369,2,0.407,6337,2,-0.309,21040,7,1.28,9402,3,0.803,5658,2,1.005,4087,2,2024,412,1416,196,1418,-1.148876820215006,52.63610101038321,-1.14927730973709,52.6330156021902
32,E06000016,Leicester,48.735,2367,48.735,2367,1,0.382,569,1,0.206,2870,1,52.623,2790,1,0.885,5181,2,0.309,11799,4,21.97,14362,5,23.49,12789,4,0.295,4591,2,0.811,11,1,-0.15,18590,6,0.608,170,1,-1.015,29911,10,2.744,4972,2,-0.052,17295,6,0.873,5048,2,1945,453,1194,298,1182,-1.117252190814199,52.63217525126315,-1.11962824079184,52.6330156021902
79,E06000016,Leicester,27.125,9523,27.125,9523,3,0.215,5817,2,0.115,10277,4,35.306,6673,3,0.192,13181,5,-0.396,22399,7,12.98,25431,8,36.674,5516,2,0.164,12830,4,0.451,1073,1,-0.253,20256,7,0.501,2055,1,-1.367,31736,10,0.964,10704,4,0.539,8686,3,1.138,3280,1,1430,367,832,231,833,-1.103479922635388,52.63198933911939,-1.10480370631921,52.6330156021902
107,E06000016,Leicester,27.214,9456,27.214,9456,3,0.073,20912,7,0.051,24492,8,16.913,15879,5,0.707,6806,3,1.76,471,1,29.7,7177,3,49.405,2009,1,0.134,15572,5,0.295,4906,2,0.333,10968,4,0.248,21891,7,0.066,14528,5,2.669,5165,2,1.189,2518,1,0.721,6313,2,2997,257,2668,72,2711,-1.135154941971368,52.63512135645187,-1.13445277526446,52.6330156021902
15,E06000016,Leicester,48.818,2351,48.818,2351,1,0.304,2105,1,0.204,2957,1,52.495,2808,1,1.533,1344,1,0.599,7759,3,19.809,16868,6,31.448,8022,3,0.308,4073,2,0.353,2945,1,0.624,7363,3,0.536,1050,1,-0.566,25012,8,1.861,7344,3,0.499,9206,3,0.741,6134,2,1921,528,1102,291,1098,-1.086794517517285,52.63497813223421,-1.08997917184659,52.6330156021902
56,E06000016,Leicester,34.935,5912,34.935,5912,2,0.218,5641,2,0.178,4388,2,28.86,9037,3,1.083,3656,2,0.327,11533,4,26.548,9671,3,13.419,20655,7,0.133,15737,5,0.411,1662,1,0.018,15757,5,0.428,5132,2,0.341,10172,4,1.137,9953,4,-0.428,22940,7,0.259,11290,4,1632,328,955,349,948,-1.074866684011526,52.630598855758485,-1.07515463737396,52.6330156021902
128,E06000016,Leicester,22.119,12684,22.119,12684,4,0.146,10816,4,0.108,11310,4,26.036,10306,4,0.239,12524,4,0.445,9839,3,18.287,18746,6,13.437,20637,7,0.177,11758,4,0.169,12342,4,-0.267,20473,7,0.429,5076,2,0.184,12514,4,-0.338,17011,6,-0.497,23877,8,0.328,10378,4,1523,299,833,391,856,-1.059698923920648,52.63480103526174,-1.06033010290134,52.6330156021902
83,E06000016,Leicester,31.362,7372,31.362,7372,3,0.223,5359,2,0.117,10045,4,54.152,2535,1,0.677,7096,3,0.001,16658,6,10.347,28276,9,27.792,10082,4,0.319,3641,2,0.245,7188,3,0.659,6951,3,0.542,923,1,-1.157,30820,10,0.245,13979,5,0.643,7412,3,-0.013,15537,5,1651,456,911,284,893,-1.050223573163856,52.63793936254251,-1.04550556842871,52.6330156021902
8,E06000016,Leicester,69.112,304,69.112,304,1,0.376,632,1,0.286,615,1,85.003,141,1,1.888,485,1,1.04,3224,1,27.884,8537,3,24.178,12304,4,0.387,1724,1,0.538,411,1,1.548,900,1,0.627,84,1,0.374,9652,3,1.306,9291,3,0.177,13679,5,0.595,7473,3,1823,507,997,319,986,-1.183477516933443,52.623155601124026,-1.17893399730691,52.6240174006386
10,E06000016,Leicester,69.014,308,69.014,308,1,0.42,250,1,0.279,718,1,93.541,27,1,1.795,672,1,0.938,4046,2,18.994,17871,6,23.534,12756,4,0.47,509,1,0.531,455,1,1.893,225,1,0.634,67,1,-0.321,21230,7,1.288,9372,3,0.079,15225,5,0.693,6552,2,1715,560,890,265,884,-1.192273545562196,52.62742059003096,-1.1937554843297,52.6240174006386
10,E06000016,Leicester,69.014,308,69.014,308,1,0.42,250,1,0.279,718,1,93.541,27,1,1.795,672,1,0.938,4046,2,18.994,17871,6,23.534,12756,4,0.47,509,1,0.531,455,1,1.893,225,1,0.634,67,1,-0.321,21230,7,1.288,9372,3,0.079,15225,5,0.693,6552,2,1715,560,890,265,884,-1.192273545562196,52.62742059003096,-1.2085769713525,52.6240174006386
36,E06000016,Leicester,52.894,1735,52.894,1735,1,0.264,3429,2,0.231,1875,1,64.368,1248,1,1.417,1800,1,1.649,682,1,13.28,25078,8,27.394,10314,4,0.279,5365,2,0.328,3658,2,1.228,2217,1,0.534,1122,1,-1.054,30189,10,0.894,10966,4,0.088,15079,5,1.04,3870,2,1651,401,991,259,960,-1.163659907978869,52.62158054107466,-1.16411251028411,52.6240174006386
131,E06000016,Leicester,21.757,12947,21.757,12947,4,0.114,14411,5,0.045,26271,8,29.66,8714,3,0.065,15006,5,1.204,2211,1,11.978,26585,9,39.906,4289,2,0.228,8216,3,0.247,7061,3,1.051,3367,2,0.25,21688,7,-0.701,26831,9,0.259,13904,5,1.016,3753,2,0.271,11130,4,3135,458,2517,160,2531,-1.149637245055272,52.62320862459659,-1.14929102326131,52.6240174006386
151,E06000016,Leicester,18.493,15696,18.493,15696,5,0.091,17791,6,0.033,29947,10,19.676,13964,5,1.101,3518,2,0.11,14985,5,13.58,24718,8,35.009,6238,2,0.349,2662,1,0.35,3023,1,0.327,11046,4,0.291,17004,6,-1.643,32389,10,1.144,9928,4,0.87,4997,2,0.17,12577,4,3786,348,3310,128,3376,-1.140370767154478,52.62495343354093,-1.13446953623851,52.6240174006386
122,E06000016,Leicester,21.95,12814,21.95,12814,4,0.166,9104,3,0.079,16505,6,35.077,6739,3,0.161,13598,5,0.005,16601,6,10.594,28053,9,30.232,8674,3,0.159,13183,5,0.304,4543,2,0.005,16019,5,0.48,2758,1,-1.621,32339,10,0.442,13020,4,0.246,12653,4,1.058,3743,2,1582,421,907,254,901,-1.104596514188803,52.62554348431852,-1.10482656219292,52.6240174006386
